Time__s_,x50kHz_ND0
0.0033983805179596,1
0.00679676103591919,1
0.0101951415538788,2
0.0135935220718384,0
0.016991902589798,2
0.0203902831077576,2
0.0237886636257172,1
0.0271870441436768,660
0.0305854246616364,1000
0.0339838051795959,919
0.0373821856975555,956
0.0407805662155151,864
0.0441789467334747,882
0.0475773272514343,777
0.0509757077693939,821
0.0543740882873535,829
0.0577724688053131,735
0.0611708493232727,791
0.0645692298412323,718
0.0679676103591919,769
0.0713659908771515,770
0.0747643713951111,777
0.0781627519130707,703
0.0815611324310303,746
0.0849595129489899,684
0.0883578934669495,685
0.0917562739849091,667
0.0951546545028687,678
0.0985530350208283,713
0.101951415538788,678
0.105349796056747,712
0.108748176574707,685
0.112146557092667,668
0.115544937610626,687
0.118943318128586,637
0.122341698646545,657
0.125740079164505,627
0.129138459682465,716
0.132536840200424,701
0.135935220718384,679
0.139333601236343,691
0.142731981754303,633
0.146130362272263,614
0.149528742790222,664
0.152927123308182,664
0.156325503826141,674
0.159723884344101,604
0.163122264862061,597
0.16652064538002,652
0.16991902589798,581
0.173317406415939,644
0.176715786933899,592
0.180114167451859,606
0.183512547969818,623
0.186910928487778,598
0.190309309005737,653
0.193707689523697,618
0.197106070041657,620
0.200504450559616,550
0.203902831077576,621
0.207301211595535,594
0.210699592113495,607
0.214097972631454,618
0.217496353149414,556
0.220894733667374,556
0.224293114185333,630
0.227691494703293,546
0.231089875221252,588
0.234488255739212,577
0.237886636257172,581
0.241285016775131,595
0.244683397293091,527
0.24808177781105,586
0.25148015832901,561
0.25487853884697,575
0.258276919364929,579
0.261675299882889,543
0.265073680400848,547
0.268472060918808,544
0.271870441436768,569
0.275268821954727,558
0.278667202472687,534
0.282065582990646,561
0.285463963508606,571
0.288862344026566,560
0.292260724544525,508
0.295659105062485,544
0.299057485580444,514
0.302455866098404,565
0.305854246616364,551
0.309252627134323,532
0.312651007652283,520
0.316049388170242,533
0.319447768688202,534
0.322846149206162,514
0.326244529724121,525
0.329642910242081,556
